size;resolution;mask_size;nanoseconds
5;1280x720;3x3;179817400
5;1280x720;5x5;550671900
5;1280x720;7x7;1178957000
5;1280x720;9x9;2399139800
5;1280x720;11x11;3599505300
5;1280x720;13x13;4851345300
5;1280x720;15x15;6427347800
4;640x360;3x3;67220400
4;640x360;5x5;183994300
4;640x360;7x7;374244700
4;640x360;9x9;597663600
4;640x360;11x11;819787300
4;640x360;13x13;1231732300
4;640x360;15x15;1669434700
3;320x180;3x3;17305200
3;320x180;5x5;48650300
3;320x180;7x7;101904200
3;320x180;9x9;163162600
3;320x180;11x11;244707600
3;320x180;13x13;320268400
3;320x180;15x15;438518500
2;160x90;3x3;4657100
2;160x90;5x5;24755200
2;160x90;7x7;23661100
2;160x90;9x9;44379000
2;160x90;11x11;62183700
2;160x90;13x13;87098100
2;160x90;15x15;120725000
1;80x45;3x3;1253600
1;80x45;5x5;3352800
1;80x45;7x7;6759300
1;80x45;9x9;6841300
1;80x45;11x11;14413500
1;80x45;13x13;21870100
1;80x45;15x15;20947400
5;1280x720;3x3;270234800
5;1280x720;5x5;709854200
5;1280x720;7x7;1379170400
5;1280x720;9x9;2282175300
5;1280x720;11x11;3533841500
5;1280x720;13x13;4805109300
5;1280x720;15x15;6710976900
4;640x360;3x3;66229900
4;640x360;5x5;180840400
4;640x360;7x7;364154100
4;640x360;9x9;697264500
4;640x360;11x11;979106200
4;640x360;13x13;1270406300
4;640x360;15x15;1789906400
3;320x180;3x3;12930900
3;320x180;5x5;49807800
3;320x180;7x7;80562600
3;320x180;9x9;151975000
3;320x180;11x11;238226600
3;320x180;13x13;346867200
3;320x180;15x15;458160700
2;160x90;3x3;4393500
2;160x90;5x5;19381400
2;160x90;7x7;29048700
2;160x90;9x9;45181400
2;160x90;11x11;49699600
2;160x90;13x13;85609600
2;160x90;15x15;123609700
1;80x45;3x3;1094900
1;80x45;5x5;3207000
1;80x45;7x7;6195000
1;80x45;9x9;10081900
1;80x45;11x11;18568100
1;80x45;13x13;20849100
1;80x45;15x15;25774200
5;1280x720;3x3;246396000
5;1280x720;5x5;755997400
5;1280x720;7x7;1642075500
5;1280x720;9x9;2637080900
5;1280x720;11x11;3728881700
5;1280x720;13x13;5396369600
5;1280x720;15x15;6585337200
4;640x360;3x3;53104700
4;640x360;5x5;195217600
4;640x360;7x7;375054400
4;640x360;9x9;619929500
4;640x360;11x11;925399900
4;640x360;13x13;1300480600
4;640x360;15x15;1657705800
3;320x180;3x3;11754400
3;320x180;5x5;38920600
3;320x180;7x7;74717700
3;320x180;9x9;129432400
3;320x180;11x11;227865700
3;320x180;13x13;312265500
3;320x180;15x15;428321300
2;160x90;3x3;3367900
2;160x90;5x5;9945000
2;160x90;7x7;23927600
2;160x90;9x9;34553900
2;160x90;11x11;60734000
2;160x90;13x13;85873200
2;160x90;15x15;106870600
1;80x45;3x3;1127800
1;80x45;5x5;3230400
1;80x45;7x7;6072300
1;80x45;9x9;7443900
1;80x45;11x11;13339300
1;80x45;13x13;19845600
1;80x45;15x15;25903800
5;1280x720;3x3;262958300
5;1280x720;5x5;747053200
5;1280x720;7x7;1505717700
5;1280x720;9x9;2255598400
5;1280x720;11x11;3745373400
5;1280x720;13x13;5271601400
5;1280x720;15x15;6762988400
4;640x360;3x3;52592600
4;640x360;5x5;176537900
4;640x360;7x7;374119400
4;640x360;9x9;618476100
4;640x360;11x11;982453900
4;640x360;13x13;1302047800
4;640x360;15x15;1532861800
