size;resolution;mask_size;nanoseconds
5;1280x720;3x3;27170400
5;1280x720;5x5;91548000
5;1280x720;7x7;181688900
5;1280x720;9x9;324227100
5;1280x720;11x11;477926200
5;1280x720;13x13;948648000
5;1280x720;15x15;1365668000
4;640x360;3x3;11229600
4;640x360;5x5;41481600
4;640x360;7x7;56408100
4;640x360;9x9;121988400
4;640x360;11x11;139618800
4;640x360;13x13;238087500
4;640x360;15x15;292397300
3;320x180;3x3;3627400
3;320x180;5x5;10808100
3;320x180;7x7;17383500
3;320x180;9x9;31812900
3;320x180;11x11;44347800
3;320x180;13x13;53283300
3;320x180;15x15;59267600
2;160x90;3x3;490100
2;160x90;5x5;1409800
2;160x90;7x7;2905300
2;160x90;9x9;5340100
2;160x90;11x11;7346500
2;160x90;13x13;11202600
2;160x90;15x15;20503600
1;80x45;3x3;120400
1;80x45;5x5;511900
1;80x45;7x7;924300
1;80x45;9x9;1431900
1;80x45;11x11;1832500
1;80x45;13x13;2906800
1;80x45;15x15;3631500
5;1280x720;3x3;28428600
5;1280x720;5x5;93044600
5;1280x720;7x7;182894100
5;1280x720;9x9;327617400
5;1280x720;11x11;484222900
5;1280x720;13x13;682715600
5;1280x720;15x15;894491600
4;640x360;3x3;6545300
4;640x360;5x5;22722900
4;640x360;7x7;44247800
4;640x360;9x9;79475400
4;640x360;11x11;117067500
4;640x360;13x13;174156700
4;640x360;15x15;226048800
3;320x180;3x3;1682200
3;320x180;5x5;5695100
3;320x180;7x7;11065300
3;320x180;9x9;19442900
3;320x180;11x11;28400700
3;320x180;13x13;42084200
3;320x180;15x15;54647700
2;160x90;3x3;428300
2;160x90;5x5;1459400
2;160x90;7x7;2803400
2;160x90;9x9;4840900
2;160x90;11x11;7115200
2;160x90;13x13;10110200
2;160x90;15x15;13173300
1;80x45;3x3;102000
1;80x45;5x5;343100
1;80x45;7x7;673500
1;80x45;9x9;1167400
1;80x45;11x11;1711300
1;80x45;13x13;2452800
1;80x45;15x15;3176700
5;1280x720;3x3;28125300
5;1280x720;5x5;94944500
5;1280x720;7x7;183476700
5;1280x720;9x9;327427400
5;1280x720;11x11;474613700
5;1280x720;13x13;698229300
5;1280x720;15x15;918504600
4;640x360;3x3;6983800
4;640x360;5x5;24266800
4;640x360;7x7;46623000
4;640x360;9x9;82232500
4;640x360;11x11;119689500
4;640x360;13x13;172783000
4;640x360;15x15;241258400
3;320x180;3x3;1655400
3;320x180;5x5;5642700
3;320x180;7x7;10981000
3;320x180;9x9;19574900
3;320x180;11x11;28718000
3;320x180;13x13;42350300
3;320x180;15x15;55548900
2;160x90;3x3;421800
2;160x90;5x5;1440500
2;160x90;7x7;2735000
2;160x90;9x9;4979800
2;160x90;11x11;7216200
2;160x90;13x13;10542700
2;160x90;15x15;13520700
1;80x45;3x3;103300
1;80x45;5x5;352000
1;80x45;7x7;690700
1;80x45;9x9;1194700
1;80x45;11x11;1739500
1;80x45;13x13;2421400
1;80x45;15x15;3167900
5;1280x720;3x3;28543700
5;1280x720;5x5;96710500
5;1280x720;7x7;187968000
5;1280x720;9x9;323337100
5;1280x720;11x11;475791500
5;1280x720;13x13;698187700
5;1280x720;15x15;1000962200
4;640x360;3x3;9358300
4;640x360;5x5;26341900
4;640x360;7x7;46055300
4;640x360;9x9;85635300
4;640x360;11x11;126893300
4;640x360;13x13;187342800
4;640x360;15x15;243921600
3;320x180;3x3;1707500
3;320x180;5x5;5712500
3;320x180;7x7;11229200
3;320x180;9x9;20280500
3;320x180;11x11;32382000
3;320x180;13x13;61467300
3;320x180;15x15;59948200
2;160x90;3x3;427200
2;160x90;5x5;1472000
2;160x90;7x7;2859800
2;160x90;9x9;5043000
2;160x90;11x11;7097800
2;160x90;13x13;10295600
2;160x90;15x15;14310100
1;80x45;3x3;104900
1;80x45;5x5;344900
1;80x45;7x7;663300
1;80x45;9x9;1206700
1;80x45;11x11;1695600
1;80x45;13x13;2457300
1;80x45;15x15;3243300
5;1280x720;3x3;31203800
5;1280x720;5x5;126735200
5;1280x720;7x7;238168000
5;1280x720;9x9;488200600
5;1280x720;11x11;711426400
5;1280x720;13x13;1087814900
5;1280x720;15x15;1464906300
4;640x360;3x3;9969600
4;640x360;5x5;43837800
4;640x360;7x7;54445800
4;640x360;9x9;112395800
4;640x360;11x11;134100600
4;640x360;13x13;221738200
4;640x360;15x15;266662700
3;320x180;3x3;2310500
3;320x180;5x5;7052100
3;320x180;7x7;12688300
3;320x180;9x9;25085500
3;320x180;11x11;35413800
3;320x180;13x13;49742200
3;320x180;15x15;62609600
2;160x90;3x3;578400
2;160x90;5x5;1727500
2;160x90;7x7;3245000
2;160x90;9x9;5440600
2;160x90;11x11;7925400
2;160x90;13x13;11535100
2;160x90;15x15;15937000
1;80x45;3x3;144500
1;80x45;5x5;433900
1;80x45;7x7;802700
1;80x45;9x9;1367600
1;80x45;11x11;1961000
1;80x45;13x13;2857500
1;80x45;15x15;3643000
5;1280x720;3x3;36658900
5;1280x720;5x5;128031000
5;1280x720;7x7;231527700
5;1280x720;9x9;394564700
5;1280x720;11x11;561604200
5;1280x720;13x13;846811100
5;1280x720;15x15;1082720000
4;640x360;3x3;8608600
4;640x360;5x5;25771800
4;640x360;7x7;48902300
4;640x360;9x9;101001700
4;640x360;11x11;147003700
4;640x360;13x13;207170900
4;640x360;15x15;240691300
3;320x180;3x3;1734600
3;320x180;5x5;5930200
3;320x180;7x7;12337800
3;320x180;9x9;21988400
3;320x180;11x11;36494100
3;320x180;13x13;44139500
3;320x180;15x15;60747000
2;160x90;3x3;440600
2;160x90;5x5;1505900
2;160x90;7x7;3039900
2;160x90;9x9;5623000
2;160x90;11x11;7818200
2;160x90;13x13;11038100
2;160x90;15x15;14857400
1;80x45;3x3;103200
1;80x45;5x5;346100
1;80x45;7x7;686700
1;80x45;9x9;1161000
1;80x45;11x11;1704500
1;80x45;13x13;2470100
1;80x45;15x15;3149400
5;1280x720;3x3;30667700
5;1280x720;5x5;105542900
5;1280x720;7x7;201729900
5;1280x720;9x9;367126200
5;1280x720;11x11;533853200
5;1280x720;13x13;798044700
5;1280x720;15x15;1447460500
4;640x360;3x3;14343000
4;640x360;5x5;46588300
4;640x360;7x7;74158800
4;640x360;9x9;133377300
4;640x360;11x11;206969300
4;640x360;13x13;224656000
