size;resolution;mask_size;nanoseconds
5;1280x720;3x3;2033900
5;1280x720;5x5;2224800
5;1280x720;7x7;2267200
5;1280x720;9x9;2616000
5;1280x720;11x11;3022300
5;1280x720;13x13;3229900
5;1280x720;15x15;3819000
4;640x360;3x3;612900
4;640x360;5x5;620900
4;640x360;7x7;690600
4;640x360;9x9;762700
4;640x360;11x11;833900
4;640x360;13x13;961000
4;640x360;15x15;1064700
3;320x180;3x3;391500
3;320x180;5x5;407700
3;320x180;7x7;435800
3;320x180;9x9;427900
3;320x180;11x11;444000
3;320x180;13x13;479100
3;320x180;15x15;564900
2;160x90;3x3;335300
2;160x90;5x5;343100
2;160x90;7x7;358100
2;160x90;9x9;347800
2;160x90;11x11;362500
2;160x90;13x13;376200
2;160x90;15x15;419900
1;80x45;3x3;367900
1;80x45;5x5;381400
1;80x45;7x7;332800
1;80x45;9x9;327400
1;80x45;11x11;335700
1;80x45;13x13;344700
1;80x45;15x15;356100
5;1280x720;3x3;1961900
5;1280x720;5x5;1929500
5;1280x720;7x7;2270700
5;1280x720;9x9;2470100
5;1280x720;11x11;3067100
5;1280x720;13x13;3828700
5;1280x720;15x15;4747900
4;640x360;3x3;1467500
4;640x360;5x5;890300
4;640x360;7x7;1225100
4;640x360;9x9;1070800
4;640x360;11x11;983200
4;640x360;13x13;1053400
4;640x360;15x15;1176900
3;320x180;3x3;415000
3;320x180;5x5;394800
3;320x180;7x7;414700
3;320x180;9x9;422300
3;320x180;11x11;450100
3;320x180;13x13;478300
3;320x180;15x15;506600
2;160x90;3x3;325600
2;160x90;5x5;331300
2;160x90;7x7;356400
2;160x90;9x9;347000
2;160x90;11x11;456300
2;160x90;13x13;435600
2;160x90;15x15;447100
1;80x45;3x3;335500
1;80x45;5x5;331800
1;80x45;7x7;321700
1;80x45;9x9;351400
1;80x45;11x11;349100
1;80x45;13x13;350700
1;80x45;15x15;364800
5;1280x720;3x3;2137200
5;1280x720;5x5;2091300
5;1280x720;7x7;2342500
5;1280x720;9x9;2618300
5;1280x720;11x11;2876200
5;1280x720;13x13;3260200
5;1280x720;15x15;3786900
4;640x360;3x3;659600
4;640x360;5x5;670100
4;640x360;7x7;720200
4;640x360;9x9;765600
4;640x360;11x11;907500
4;640x360;13x13;967200
4;640x360;15x15;1042600
3;320x180;3x3;419200
3;320x180;5x5;461100
3;320x180;7x7;417800
3;320x180;9x9;477300
3;320x180;11x11;473600
3;320x180;13x13;489900
3;320x180;15x15;511200
2;160x90;3x3;321700
2;160x90;5x5;325600
2;160x90;7x7;337400
2;160x90;9x9;364700
2;160x90;11x11;370800
2;160x90;13x13;379900
2;160x90;15x15;394800
1;80x45;3x3;313200
1;80x45;5x5;337900
1;80x45;7x7;340100
1;80x45;9x9;341000
1;80x45;11x11;345900
1;80x45;13x13;361900
1;80x45;15x15;392100
5;1280x720;3x3;2555700
5;1280x720;5x5;2116000
5;1280x720;7x7;2392500
5;1280x720;9x9;2820200
5;1280x720;11x11;3215200
5;1280x720;13x13;3323900
5;1280x720;15x15;3847100
4;640x360;3x3;641900
4;640x360;5x5;666700
4;640x360;7x7;803100
4;640x360;9x9;857200
4;640x360;11x11;909100
4;640x360;13x13;1038600
4;640x360;15x15;1317500
3;320x180;3x3;469700
3;320x180;5x5;397200
3;320x180;7x7;427000
3;320x180;9x9;454500
3;320x180;11x11;492500
3;320x180;13x13;486500
3;320x180;15x15;515700
2;160x90;3x3;329100
2;160x90;5x5;330600
2;160x90;7x7;429700
2;160x90;9x9;348500
2;160x90;11x11;358900
2;160x90;13x13;457700
2;160x90;15x15;403200
1;80x45;3x3;346700
1;80x45;5x5;315000
1;80x45;7x7;331600
1;80x45;9x9;389000
1;80x45;11x11;394300
1;80x45;13x13;354000
1;80x45;15x15;365600
5;1280x720;3x3;9169000
5;1280x720;5x5;2020800
5;1280x720;7x7;2149200
5;1280x720;9x9;2428000
5;1280x720;11x11;2822700
5;1280x720;13x13;3454500
5;1280x720;15x15;4310200
4;640x360;3x3;742300
4;640x360;5x5;934900
4;640x360;7x7;762300
4;640x360;9x9;808200
4;640x360;11x11;887600
4;640x360;13x13;991400
4;640x360;15x15;1086600
3;320x180;3x3;412600
3;320x180;5x5;421900
3;320x180;7x7;425400
3;320x180;9x9;425900
3;320x180;11x11;444700
3;320x180;13x13;480300
3;320x180;15x15;552600
2;160x90;3x3;352600
2;160x90;5x5;351900
2;160x90;7x7;363100
2;160x90;9x9;366900
2;160x90;11x11;385300
2;160x90;13x13;516400
2;160x90;15x15;568800
1;80x45;3x3;362000
1;80x45;5x5;436700
1;80x45;7x7;396500
1;80x45;9x9;389300
1;80x45;11x11;380300
1;80x45;13x13;402400
1;80x45;15x15;386900
5;1280x720;3x3;2059600
5;1280x720;5x5;2042300
5;1280x720;7x7;2275300
5;1280x720;9x9;2817600
5;1280x720;11x11;2904900
5;1280x720;13x13;3436500
5;1280x720;15x15;3952000
4;640x360;3x3;648800
4;640x360;5x5;725500
4;640x360;7x7;827000
4;640x360;9x9;801600
4;640x360;11x11;907400
4;640x360;13x13;1055200
4;640x360;15x15;1161200
3;320x180;3x3;470900
3;320x180;5x5;727800
3;320x180;7x7;456300
3;320x180;9x9;442900
3;320x180;11x11;597800
3;320x180;13x13;585000
3;320x180;15x15;547700
2;160x90;3x3;415900
2;160x90;5x5;388900
2;160x90;7x7;337700
2;160x90;9x9;459700
2;160x90;11x11;415000
2;160x90;13x13;455500
2;160x90;15x15;468200
1;80x45;3x3;413200
1;80x45;5x5;351700
1;80x45;7x7;337200
1;80x45;9x9;394000
1;80x45;11x11;402500
1;80x45;13x13;456900
1;80x45;15x15;463000
5;1280x720;3x3;4311500
5;1280x720;5x5;4576400
5;1280x720;7x7;5063700
5;1280x720;9x9;5942800
5;1280x720;11x11;7019000
5;1280x720;13x13;9315900
5;1280x720;15x15;10906100
4;640x360;3x3;1428700
4;640x360;5x5;1250500
4;640x360;7x7;1384000
4;640x360;9x9;1557100
4;640x360;11x11;1895200
4;640x360;13x13;2245900
4;640x360;15x15;2543500
3;320x180;3x3;682800
3;320x180;5x5;672200
3;320x180;7x7;709000
3;320x180;9x9;798800
3;320x180;11x11;921500
3;320x180;13x13;954100
3;320x180;15x15;1083900
2;160x90;3x3;574700
2;160x90;5x5;543500
2;160x90;7x7;578100
2;160x90;9x9;600400
2;160x90;11x11;654500
2;160x90;13x13;793300
2;160x90;15x15;765500
1;80x45;3x3;587000
1;80x45;5x5;551200
1;80x45;7x7;607200
1;80x45;9x9;619500
1;80x45;11x11;663300
1;80x45;13x13;666500
1;80x45;15x15;698400
5;1280x720;3x3;6866500
5;1280x720;5x5;7393100
5;1280x720;7x7;8436600
5;1280x720;9x9;9905600
5;1280x720;11x11;11991100
5;1280x720;13x13;14267900
5;1280x720;15x15;17129700
4;640x360;3x3;2386500
4;640x360;5x5;2412300
4;640x360;7x7;2056700
4;640x360;9x9;2457400
4;640x360;11x11;3109100
