size;resolution;mask_size;nanoseconds
5;1280x720;3x3;2008400
5;1280x720;5x5;2064700
5;1280x720;7x7;2396100
5;1280x720;9x9;2867300
4;640x360;3x3;809600
4;640x360;5x5;787200
4;640x360;7x7;805200
4;640x360;9x9;906500
3;320x180;3x3;476300
3;320x180;5x5;578300
3;320x180;7x7;567700
3;320x180;9x9;647100
2;160x90;3x3;361400
2;160x90;5x5;453900
2;160x90;7x7;388600
2;160x90;9x9;362500
1;80x45;3x3;358100
1;80x45;5x5;315300
1;80x45;7x7;331100
1;80x45;9x9;437500
5;1280x720;3x3;1877800
5;1280x720;5x5;1913400
5;1280x720;7x7;2199800
5;1280x720;9x9;2470200
4;640x360;3x3;620400
4;640x360;5x5;642200
4;640x360;7x7;759100
4;640x360;9x9;794200
3;320x180;3x3;378900
3;320x180;5x5;438400
3;320x180;7x7;435100
3;320x180;9x9;443500
2;160x90;3x3;344100
2;160x90;5x5;321100
2;160x90;7x7;342100
2;160x90;9x9;374900
1;80x45;3x3;316700
1;80x45;5x5;329800
1;80x45;7x7;319700
1;80x45;9x9;350200
5;1280x720;3x3;2031800
5;1280x720;5x5;1928400
5;1280x720;7x7;2234200
5;1280x720;9x9;2471200
4;640x360;3x3;608400
4;640x360;5x5;705400
4;640x360;7x7;745100
4;640x360;9x9;843200
3;320x180;3x3;404700
3;320x180;5x5;442200
3;320x180;7x7;416300
3;320x180;9x9;430400
2;160x90;3x3;319900
2;160x90;5x5;384600
2;160x90;7x7;346400
2;160x90;9x9;348600
1;80x45;3x3;331800
1;80x45;5x5;370700
1;80x45;7x7;348700
1;80x45;9x9;325900
5;1280x720;3x3;2250300
5;1280x720;5x5;2045300
5;1280x720;7x7;2139700
5;1280x720;9x9;2734300
4;640x360;3x3;616400
4;640x360;5x5;656500
4;640x360;7x7;747700
4;640x360;9x9;933300
3;320x180;3x3;386100
3;320x180;5x5;401400
3;320x180;7x7;462600
3;320x180;9x9;450700
2;160x90;3x3;307300
2;160x90;5x5;313700
2;160x90;7x7;317000
2;160x90;9x9;324100
1;80x45;3x3;307500
1;80x45;5x5;356500
1;80x45;7x7;300900
1;80x45;9x9;302500
5;1280x720;3x3;2067100
5;1280x720;5x5;2088700
5;1280x720;7x7;2515800
5;1280x720;9x9;5537300
4;640x360;3x3;620900
4;640x360;5x5;745400
4;640x360;7x7;714600
4;640x360;9x9;789000
3;320x180;3x3;381200
3;320x180;5x5;384700
3;320x180;7x7;414700
3;320x180;9x9;489000
2;160x90;3x3;390600
2;160x90;5x5;380200
2;160x90;7x7;370200
2;160x90;9x9;345900
1;80x45;3x3;304700
1;80x45;5x5;303300
1;80x45;7x7;307100
1;80x45;9x9;316100
5;1280x720;3x3;2262100
5;1280x720;5x5;2111300
5;1280x720;7x7;2707200
5;1280x720;9x9;2820000
4;640x360;3x3;699900
4;640x360;5x5;720200
4;640x360;7x7;941700
4;640x360;9x9;903000
3;320x180;3x3;480100
3;320x180;5x5;491100
3;320x180;7x7;522500
3;320x180;9x9;451500
2;160x90;3x3;322000
2;160x90;5x5;315300
2;160x90;7x7;321200
2;160x90;9x9;331800
1;80x45;3x3;303100
1;80x45;5x5;301900
1;80x45;7x7;316100
1;80x45;9x9;304900
5;1280x720;3x3;1967300
5;1280x720;5x5;1923000
5;1280x720;7x7;2294000
5;1280x720;9x9;2541200
4;640x360;3x3;662900
4;640x360;5x5;702600
4;640x360;7x7;826900
4;640x360;9x9;891600
3;320x180;3x3;548700
3;320x180;5x5;425400
3;320x180;7x7;426600
3;320x180;9x9;466700
2;160x90;3x3;315100
2;160x90;5x5;322300
2;160x90;7x7;315400
2;160x90;9x9;328000
1;80x45;3x3;301600
1;80x45;5x5;323700
1;80x45;7x7;312600
1;80x45;9x9;304600
5;1280x720;3x3;2007600
5;1280x720;5x5;2002900
5;1280x720;7x7;2365400
5;1280x720;9x9;2615400
4;640x360;3x3;725500
4;640x360;5x5;795100
4;640x360;7x7;767500
4;640x360;9x9;878200
3;320x180;3x3;517900
3;320x180;5x5;492100
3;320x180;7x7;510600
3;320x180;9x9;507400
2;160x90;3x3;422100
2;160x90;5x5;343800
2;160x90;7x7;330500
2;160x90;9x9;338000
1;80x45;3x3;298200
1;80x45;5x5;304100
1;80x45;7x7;300600
1;80x45;9x9;305600
5;1280x720;3x3;1974200
5;1280x720;5x5;2257400
5;1280x720;7x7;2447200
5;1280x720;9x9;2922100
4;640x360;3x3;742200
4;640x360;5x5;751200
4;640x360;7x7;769800
4;640x360;9x9;807900
3;320x180;3x3;411400
3;320x180;5x5;398900
3;320x180;7x7;462100
3;320x180;9x9;466500
2;160x90;3x3;326600
2;160x90;5x5;369100
2;160x90;7x7;329700
2;160x90;9x9;352100
1;80x45;3x3;297400
1;80x45;5x5;301900
1;80x45;7x7;331800
1;80x45;9x9;311500
5;1280x720;3x3;2424800
5;1280x720;5x5;2108700
5;1280x720;7x7;2113400
5;1280x720;9x9;2450600
4;640x360;3x3;618000
4;640x360;5x5;626300
4;640x360;7x7;735800
4;640x360;9x9;868300
3;320x180;3x3;386400
3;320x180;5x5;380200
3;320x180;7x7;396800
3;320x180;9x9;419700
2;160x90;3x3;317000
2;160x90;5x5;316700
2;160x90;7x7;324200
2;160x90;9x9;350300
1;80x45;3x3;302900
1;80x45;5x5;302200
1;80x45;7x7;304600
1;80x45;9x9;307200
5;1280x720;3x3;2225100
5;1280x720;5x5;1965700
5;1280x720;7x7;2295600
5;1280x720;9x9;2721100
4;640x360;3x3;655300
4;640x360;5x5;665700
4;640x360;7x7;742700
4;640x360;9x9;803500
3;320x180;3x3;372200
3;320x180;5x5;393700
3;320x180;7x7;430900
3;320x180;9x9;521500
2;160x90;3x3;328700
2;160x90;5x5;364100
2;160x90;7x7;346300
2;160x90;9x9;433300
1;80x45;3x3;377500
1;80x45;5x5;318700
1;80x45;7x7;412200
1;80x45;9x9;350300
5;1280x720;3x3;2427500
5;1280x720;5x5;2054000
5;1280x720;7x7;2116300
5;1280x720;9x9;2785900
4;640x360;3x3;737200
4;640x360;5x5;637500
4;640x360;7x7;708000
4;640x360;9x9;814100
3;320x180;3x3;453700
3;320x180;5x5;516600
3;320x180;7x7;558700
3;320x180;9x9;511300
2;160x90;3x3;434600
2;160x90;5x5;405900
2;160x90;7x7;406400
2;160x90;9x9;418400
1;80x45;3x3;376100
1;80x45;5x5;440100
1;80x45;7x7;398700
1;80x45;9x9;1364400
5;1280x720;3x3;1942900
5;1280x720;5x5;2063600
5;1280x720;7x7;2234000
5;1280x720;9x9;2615800
4;640x360;3x3;673100
4;640x360;5x5;708400
4;640x360;7x7;753500
4;640x360;9x9;870800
3;320x180;3x3;456300
3;320x180;5x5;469200
3;320x180;7x7;501300
3;320x180;9x9;529500
2;160x90;3x3;381700
2;160x90;5x5;383300
2;160x90;7x7;377200
2;160x90;9x9;390700
1;80x45;3x3;360100
1;80x45;5x5;324200
1;80x45;7x7;311100
1;80x45;9x9;322400
5;1280x720;3x3;2053000
5;1280x720;5x5;2109500
5;1280x720;7x7;2346900
5;1280x720;9x9;3005600
4;640x360;3x3;882000
4;640x360;5x5;886400
4;640x360;7x7;774000
4;640x360;9x9;849400
3;320x180;3x3;584200
3;320x180;5x5;461800
3;320x180;7x7;442900
3;320x180;9x9;462300
