size;resolution;mask_size;nanoseconds
5;1280x720;3x3;2473500
5;1280x720;5x5;2324300
5;1280x720;7x7;2636100
5;1280x720;9x9;2856700
5;1280x720;11x11;3198700
5;1280x720;13x13;3637200
5;1280x720;15x15;4361200
4;640x360;3x3;977300
4;640x360;5x5;978400
4;640x360;7x7;904200
4;640x360;9x9;923500
4;640x360;11x11;974300
4;640x360;13x13;1077500
4;640x360;15x15;1261200
3;320x180;3x3;495000
3;320x180;5x5;510400
3;320x180;7x7;538800
3;320x180;9x9;572800
3;320x180;11x11;549300
3;320x180;13x13;641000
3;320x180;15x15;561600
2;160x90;3x3;345000
2;160x90;5x5;331100
2;160x90;7x7;338700
2;160x90;9x9;362500
2;160x90;11x11;362200
2;160x90;13x13;387400
2;160x90;15x15;460500
1;80x45;3x3;319600
1;80x45;5x5;328200
1;80x45;7x7;313800
1;80x45;9x9;326400
1;80x45;11x11;337400
1;80x45;13x13;338900
1;80x45;15x15;346000
5;1280x720;3x3;2787500
5;1280x720;5x5;2655600
5;1280x720;7x7;2969600
5;1280x720;9x9;3107500
5;1280x720;11x11;3291400
5;1280x720;13x13;3599100
5;1280x720;15x15;7938400
4;640x360;3x3;770600
4;640x360;5x5;827800
4;640x360;7x7;789200
4;640x360;9x9;830100
4;640x360;11x11;933400
4;640x360;13x13;1210500
4;640x360;15x15;1364900
3;320x180;3x3;594900
3;320x180;5x5;768700
3;320x180;7x7;520500
3;320x180;9x9;535000
3;320x180;11x11;595300
3;320x180;13x13;531400
3;320x180;15x15;547400
2;160x90;3x3;356900
2;160x90;5x5;361200
2;160x90;7x7;345900
2;160x90;9x9;355800
2;160x90;11x11;386000
2;160x90;13x13;408100
2;160x90;15x15;421100
1;80x45;3x3;326100
1;80x45;5x5;371900
1;80x45;7x7;397200
1;80x45;9x9;372400
1;80x45;11x11;354400
1;80x45;13x13;367200
1;80x45;15x15;392700
5;1280x720;3x3;2415000
5;1280x720;5x5;2345600
5;1280x720;7x7;2570700
5;1280x720;9x9;3154200
5;1280x720;11x11;4041200
5;1280x720;13x13;4391000
5;1280x720;15x15;4512900
4;640x360;3x3;750700
4;640x360;5x5;743300
4;640x360;7x7;862600
4;640x360;9x9;875500
4;640x360;11x11;1083800
4;640x360;13x13;1164300
4;640x360;15x15;1184200
3;320x180;3x3;460100
3;320x180;5x5;507800
3;320x180;7x7;450400
3;320x180;9x9;489000
3;320x180;11x11;476700
3;320x180;13x13;510900
3;320x180;15x15;546600
2;160x90;3x3;330600
2;160x90;5x5;354600
2;160x90;7x7;339700
2;160x90;9x9;383700
2;160x90;11x11;362300
2;160x90;13x13;421700
2;160x90;15x15;400900
1;80x45;3x3;310600
1;80x45;5x5;348700
1;80x45;7x7;328500
1;80x45;9x9;347200
1;80x45;11x11;391900
1;80x45;13x13;641400
1;80x45;15x15;588300
5;1280x720;3x3;2435100
5;1280x720;5x5;2338600
5;1280x720;7x7;2580400
5;1280x720;9x9;3165100
5;1280x720;11x11;3313600
5;1280x720;13x13;3739900
5;1280x720;15x15;4350500
4;640x360;3x3;692600
4;640x360;5x5;707600
4;640x360;7x7;739100
4;640x360;9x9;901300
4;640x360;11x11;24041800
4;640x360;13x13;1228900
4;640x360;15x15;1189900
3;320x180;3x3;469400
3;320x180;5x5;484000
3;320x180;7x7;472800
3;320x180;9x9;530900
3;320x180;11x11;486800
3;320x180;13x13;510500
3;320x180;15x15;600700
2;160x90;3x3;348100
2;160x90;5x5;329900
2;160x90;7x7;421500
2;160x90;9x9;388500
2;160x90;11x11;372000
2;160x90;13x13;373900
2;160x90;15x15;418900
1;80x45;3x3;627400
1;80x45;5x5;516000
1;80x45;7x7;450200
1;80x45;9x9;377700
1;80x45;11x11;371300
1;80x45;13x13;347900
1;80x45;15x15;354500
5;1280x720;3x3;2451600
5;1280x720;5x5;2478400
5;1280x720;7x7;3135700
5;1280x720;9x9;2722400
5;1280x720;11x11;3023200
5;1280x720;13x13;3496800
5;1280x720;15x15;4182600
4;640x360;3x3;627200
4;640x360;5x5;665800
4;640x360;7x7;722300
4;640x360;9x9;839300
4;640x360;11x11;893500
4;640x360;13x13;1031000
4;640x360;15x15;1220700
3;320x180;3x3;520800
3;320x180;5x5;464800
3;320x180;7x7;412900
3;320x180;9x9;455000
3;320x180;11x11;471500
3;320x180;13x13;504800
3;320x180;15x15;529700
2;160x90;3x3;365600
2;160x90;5x5;330200
2;160x90;7x7;337000
2;160x90;9x9;367900
2;160x90;11x11;522900
2;160x90;13x13;510100
2;160x90;15x15;435900
1;80x45;3x3;354700
1;80x45;5x5;332700
1;80x45;7x7;347300
1;80x45;9x9;375300
