size;resolution;nanoseconds
5;1280x720;1020100
4;640x360;246000
3;320x180;51400
2;160x90;10300
1;80x45;3000
5;1280x720;1018600
4;640x360;171100
3;320x180;41700
2;160x90;10600
1;80x45;2700
5;1280x720;892600
4;640x360;176100
3;320x180;42500
2;160x90;10300
1;80x45;3300
5;1280x720;1091900
4;640x360;176300
3;320x180;42600
2;160x90;10300
1;80x45;3100
5;1280x720;948400
4;640x360;175700
3;320x180;41200
2;160x90;10500
1;80x45;3300
5;1280x720;1037100
4;640x360;177100
3;320x180;44700
2;160x90;11100
1;80x45;2800
5;1280x720;1010900
4;640x360;175000
3;320x180;43700
2;160x90;10200
1;80x45;2800
5;1280x720;979300
4;640x360;172300
3;320x180;42600
2;160x90;10500
1;80x45;3200
5;1280x720;1029600
4;640x360;176700
3;320x180;42600
2;160x90;10600
1;80x45;3300
5;1280x720;890000
4;640x360;171000
3;320x180;42600
2;160x90;10700
1;80x45;2700
5;1280x720;1048400
4;640x360;173500
3;320x180;42100
2;160x90;10300
1;80x45;2800
5;1280x720;912800
4;640x360;171900
3;320x180;42100
2;160x90;10400
1;80x45;2600
5;1280x720;878800
4;640x360;173100
3;320x180;42600
2;160x90;10700
1;80x45;3300
5;1280x720;1200800
4;640x360;182200
3;320x180;44000
2;160x90;10800
1;80x45;2800
5;1280x720;864400
4;640x360;169800
3;320x180;41800
2;160x90;10200
1;80x45;3300
5;1280x720;970300
4;640x360;175400
3;320x180;43900
2;160x90;10800
1;80x45;2700
5;1280x720;930800
4;640x360;173400
3;320x180;43100
2;160x90;10500
1;80x45;3300
5;1280x720;1042900
4;640x360;182500
3;320x180;42200
2;160x90;10200
1;80x45;2700
5;1280x720;935700
4;640x360;249500
3;320x180;46100
2;160x90;10700
1;80x45;2800
5;1280x720;884400
4;640x360;202400
3;320x180;43900
2;160x90;11200
1;80x45;2900
5;1280x720;1142100
4;640x360;179300
3;320x180;44100
2;160x90;10400
1;80x45;2900
5;1280x720;909100
4;640x360;169500
3;320x180;42100
2;160x90;15300
1;80x45;2700
5;1280x720;1047500
4;640x360;170700
3;320x180;49700
2;160x90;10400
1;80x45;2900
5;1280x720;908700
4;640x360;167800
3;320x180;41400
2;160x90;15200
1;80x45;2900
5;1280x720;875800
4;640x360;177400
3;320x180;42300
2;160x90;10800
1;80x45;2900
5;1280x720;885500
4;640x360;172400
3;320x180;42400
2;160x90;10300
1;80x45;2700
5;1280x720;1315500
4;640x360;181300
3;320x180;43200
2;160x90;10400
1;80x45;3400
5;1280x720;926400
4;640x360;170300
3;320x180;42800
2;160x90;10800
1;80x45;2800
5;1280x720;1203000
4;640x360;189000
3;320x180;45100
2;160x90;11200
1;80x45;3600
5;1280x720;1145800
4;640x360;248000
3;320x180;60100
2;160x90;11200
1;80x45;3300
5;1280x720;1011400
4;640x360;192400
3;320x180;45500
2;160x90;11700
1;80x45;3100
5;1280x720;985800
4;640x360;171800
3;320x180;43000
2;160x90;11000
1;80x45;3300
5;1280x720;1129600
4;640x360;217300
3;320x180;56100
2;160x90;12300
1;80x45;3300
5;1280x720;1161900
4;640x360;193800
3;320x180;44300
2;160x90;11100
1;80x45;2800
5;1280x720;7995200
4;640x360;187500
3;320x180;46000
2;160x90;11400
1;80x45;3000
5;1280x720;1031600
4;640x360;189400
3;320x180;43900
2;160x90;10700
1;80x45;2800
5;1280x720;1152600
4;640x360;190700
3;320x180;50300
2;160x90;12600
1;80x45;18400
5;1280x720;956100
4;640x360;168800
3;320x180;42500
2;160x90;10600
1;80x45;2700
5;1280x720;979200
4;640x360;175200
3;320x180;41600
2;160x90;10300
1;80x45;2900
5;1280x720;1075400
