size;resolution;nanoseconds
5;1280x720;1990000
4;640x360;629800
3;320x180;405100
2;160x90;315600
1;80x45;274400
5;1280x720;2608900
4;640x360;741300
3;320x180;453600
2;160x90;432200
1;80x45;302600
5;1280x720;1810100
4;640x360;570400
3;320x180;335700
2;160x90;301800
1;80x45;286800
5;1280x720;1818200
4;640x360;547700
3;320x180;409900
2;160x90;484500
1;80x45;522900
5;1280x720;2303700
4;640x360;706000
3;320x180;358100
2;160x90;326900
1;80x45;279700
5;1280x720;2042900
4;640x360;639200
3;320x180;393600
2;160x90;446700
1;80x45;435400
5;1280x720;5964100
4;640x360;1647600
3;320x180;785200
2;160x90;577400
1;80x45;518400
5;1280x720;6057000
4;640x360;1622500
3;320x180;897700
2;160x90;601800
1;80x45;535800
5;1280x720;6500800
4;640x360;1604000
3;320x180;725200
2;160x90;532000
1;80x45;489900
5;1280x720;8178200
4;640x360;3660800
3;320x180;1990500
2;160x90;1481200
1;80x45;1188900
5;1280x720;6020900
4;640x360;1476200
3;320x180;696200
2;160x90;517600
1;80x45;449600
5;1280x720;6801500
4;640x360;1516600
3;320x180;807600
2;160x90;630900
1;80x45;545600
5;1280x720;6945000
4;640x360;1785400
3;320x180;998800
2;160x90;734500
1;80x45;596500
5;1280x720;5880300
4;640x360;1515800
3;320x180;750500
2;160x90;558200
1;80x45;501600
5;1280x720;6514900
4;640x360;1588100
3;320x180;827700
2;160x90;566400
1;80x45;523700
5;1280x720;5889000
4;640x360;1682100
3;320x180;833700
2;160x90;1228100
1;80x45;4019600
5;1280x720;6595400
4;640x360;1985900
3;320x180;1243800
2;160x90;1074500
1;80x45;1089500
5;1280x720;6651900
4;640x360;2117800
3;320x180;7792400
2;160x90;2423800
1;80x45;1951000
5;1280x720;2610600
4;640x360;637800
3;320x180;441000
2;160x90;335700
1;80x45;313900
5;1280x720;2085700
4;640x360;579600
3;320x180;392200
2;160x90;312100
1;80x45;283900
5;1280x720;2111000
4;640x360;615400
3;320x180;388700
2;160x90;334400
1;80x45;298900
5;1280x720;1945100
4;640x360;720500
3;320x180;498900
2;160x90;4205600
1;80x45;1229700
5;1280x720;2390900
4;640x360;696500
3;320x180;532500
2;160x90;430100
1;80x45;372400
5;1280x720;1831100
4;640x360;589600
3;320x180;370400
2;160x90;372400
1;80x45;298500
5;1280x720;5827600
4;640x360;1464500
3;320x180;701500
2;160x90;514500
1;80x45;473000
5;1280x720;6220600
4;640x360;1921600
3;320x180;1117700
2;160x90;920400
1;80x45;884100
5;1280x720;6503800
4;640x360;1554700
3;320x180;1131800
2;160x90;980000
1;80x45;887000
5;1280x720;6551500
4;640x360;1639500
3;320x180;1228800
2;160x90;1200800
1;80x45;879500
5;1280x720;6789200
4;640x360;1972100
3;320x180;1250700
2;160x90;559500
1;80x45;909100
5;1280x720;10918800
4;640x360;2009500
3;320x180;1280600
2;160x90;1176700
1;80x45;1099600
5;1280x720;6450800
4;640x360;1892500
3;320x180;1130600
2;160x90;939000
1;80x45;874200
5;1280x720;7019400
4;640x360;2114400
3;320x180;1288900
2;160x90;936300
1;80x45;880100
5;1280x720;7162400
4;640x360;2530400
3;320x180;1499700
2;160x90;647800
1;80x45;1022800
5;1280x720;7041600
4;640x360;2125700
3;320x180;1218200
2;160x90;1051100
1;80x45;929400
5;1280x720;6430900
4;640x360;2122600
3;320x180;1155000
2;160x90;929900
1;80x45;883700
5;1280x720;6736600
4;640x360;2142500
3;320x180;1024200
2;160x90;6713800
1;80x45;1025700
5;1280x720;6634500
4;640x360;1939000
3;320x180;1132400
2;160x90;1027000
1;80x45;466700
5;1280x720;6915700
4;640x360;1967600
3;320x180;1145500
2;160x90;1070000
1;80x45;980000
5;1280x720;7050900
4;640x360;2030400
3;320x180;1114800
2;160x90;955400
1;80x45;903700
5;1280x720;6746300
4;640x360;2160500
3;320x180;1311000
2;160x90;1202600
1;80x45;1257300
5;1280x720;6686100
4;640x360;1620200
3;320x180;1212000
2;160x90;960300
1;80x45;945300
5;1280x720;6742700
4;640x360;1968100
3;320x180;1095400
2;160x90;950400
1;80x45;875300
5;1280x720;7127300
4;640x360;7476000
3;320x180;1209900
2;160x90;957000
1;80x45;907300
5;1280x720;7583500
4;640x360;2618000
3;320x180;1713100
2;160x90;784300
1;80x45;578800
5;1280x720;6772800
4;640x360;1888200
3;320x180;1105600
2;160x90;928600
1;80x45;876400
5;1280x720;3583700
4;640x360;1851900
3;320x180;702300
2;160x90;696000
1;80x45;2162000
5;1280x720;2067100
4;640x360;587000
3;320x180;371200
2;160x90;314600
1;80x45;297100
5;1280x720;2077600
4;640x360;627900
3;320x180;378600
2;160x90;343300
1;80x45;306800
5;1280x720;1747100
4;640x360;560200
3;320x180;349900
2;160x90;340400
1;80x45;292300
5;1280x720;1982400
4;640x360;632500
3;320x180;342400
2;160x90;293200
1;80x45;266900
5;1280x720;2292900
4;640x360;1604700
3;320x180;586100
2;160x90;906800
1;80x45;1816100
5;1280x720;5255900
4;640x360;752200
3;320x180;533900
2;160x90;799300
1;80x45;950700
5;1280x720;2181800
4;640x360;775400
3;320x180;546900
2;160x90;411800
1;80x45;347500
5;1280x720;4297000
4;640x360;1375100
3;320x180;925600
2;160x90;803700
1;80x45;520700
5;1280x720;6685700
4;640x360;2424500
3;320x180;1408300
2;160x90;1208600
1;80x45;997600
5;1280x720;7127600
4;640x360;2137800
3;320x180;1413400
2;160x90;1077300
1;80x45;1038200
5;1280x720;6789300
4;640x360;2279400
3;320x180;1325900
2;160x90;1036400
1;80x45;966500
5;1280x720;6639300
4;640x360;2117500
3;320x180;1162800
2;160x90;916600
1;80x45;844600
5;1280x720;6892200
4;640x360;2431700
3;320x180;1593300
2;160x90;1125100
1;80x45;1100000
5;1280x720;7129100
4;640x360;1949900
3;320x180;1130500
2;160x90;986900
1;80x45;891000
5;1280x720;6858100
4;640x360;1978100
3;320x180;1135100
2;160x90;1160600
1;80x45;1195600
5;1280x720;7005200
4;640x360;1905000
3;320x180;1159500
2;160x90;1022300
1;80x45;1073800
5;1280x720;6755000
4;640x360;1974000
3;320x180;1156700
2;160x90;973300
1;80x45;917700
5;1280x720;2317300
4;640x360;600300
3;320x180;372800
2;160x90;320400
1;80x45;293500
5;1280x720;2067400
4;640x360;575100
3;320x180;377900
2;160x90;354200
1;80x45;298600
5;1280x720;2630500
4;640x360;864700
3;320x180;749900
2;160x90;526700
1;80x45;555600
5;1280x720;1804000
4;640x360;606100
3;320x180;346000
2;160x90;469900
1;80x45;286400
5;1280x720;2352000
4;640x360;663600
3;320x180;421400
2;160x90;395300
1;80x45;348200
5;1280x720;2540000
4;640x360;612600
3;320x180;414300
2;160x90;365300
1;80x45;330100
5;1280x720;2195600
4;640x360;812400
3;320x180;441700
2;160x90;444900
1;80x45;352100
5;1280x720;3745400
4;640x360;1031800
3;320x180;645800
2;160x90;590800
1;80x45;652300
5;1280x720;5924400
4;640x360;1620600
3;320x180;739200
2;160x90;519400
1;80x45;445700
5;1280x720;6017400
4;640x360;1607600
3;320x180;771700
2;160x90;532600
1;80x45;446500
5;1280x720;2350500
4;640x360;725000
3;320x180;454300
2;160x90;389200
1;80x45;338900
5;1280x720;3115200
4;640x360;840800
3;320x180;490400
2;160x90;420300
1;80x45;356300
5;1280x720;2441900
4;640x360;742500
