size;resolution;window_size;nanoseconds
5;1280x720;3x3;18693100
5;1280x720;5x5;3605600
5;1280x720;7x7;43361600
5;1280x720;9x9;3347800
5;1280x720;11x11;28609800
5;1280x720;13x13;47319000
5;1280x720;15x15;3182500
4;640x360;3x3;1281700
4;640x360;5x5;33633500
4;640x360;7x7;31546100
4;640x360;9x9;31807400
4;640x360;11x11;31595300
4;640x360;13x13;8420700
4;640x360;15x15;1464900
3;320x180;3x3;838500
3;320x180;5x5;31060700
3;320x180;7x7;31784800
3;320x180;9x9;30029100
3;320x180;11x11;31174600
3;320x180;13x13;31146600
3;320x180;15x15;22561400
2;160x90;3x3;615200
2;160x90;5x5;408200
2;160x90;7x7;518400
2;160x90;9x9;35091900
2;160x90;11x11;32414600
2;160x90;13x13;15215100
2;160x90;15x15;31430900
1;80x45;3x3;29827600
1;80x45;5x5;31627200
1;80x45;7x7;15639400
1;80x45;9x9;32160000
1;80x45;11x11;15788300
1;80x45;13x13;503000
1;80x45;15x15;2054700
5;1280x720;3x3;2002400
5;1280x720;5x5;1810100
5;1280x720;7x7;1800200
5;1280x720;9x9;2194900
5;1280x720;11x11;2066800
5;1280x720;13x13;2144000
5;1280x720;15x15;2681600
4;640x360;3x3;844800
4;640x360;5x5;726100
4;640x360;7x7;775300
4;640x360;9x9;706600
4;640x360;11x11;715800
4;640x360;13x13;750900
4;640x360;15x15;786200
3;320x180;3x3;386600
3;320x180;5x5;495200
3;320x180;7x7;398700
3;320x180;9x9;423400
3;320x180;11x11;407300
3;320x180;13x13;509400
3;320x180;15x15;445000
2;160x90;3x3;313000
2;160x90;5x5;312300
2;160x90;7x7;322300
2;160x90;9x9;316400
2;160x90;11x11;410700
2;160x90;13x13;387000
2;160x90;15x15;373300
1;80x45;3x3;346600
1;80x45;5x5;345200
1;80x45;7x7;360200
1;80x45;9x9;301000
1;80x45;11x11;357700
1;80x45;13x13;293800
1;80x45;15x15;313900
5;1280x720;3x3;18353100
5;1280x720;5x5;24742600
5;1280x720;7x7;48595700
5;1280x720;9x9;48264500
5;1280x720;11x11;47945900
5;1280x720;13x13;42651600
5;1280x720;15x15;3224100
4;640x360;3x3;996800
4;640x360;5x5;1340500
4;640x360;7x7;18453700
4;640x360;9x9;1123600
4;640x360;11x11;9752700
4;640x360;13x13;35048100
4;640x360;15x15;2311700
3;320x180;3x3;13322800
3;320x180;5x5;11890900
3;320x180;7x7;17841900
3;320x180;9x9;13672300
3;320x180;11x11;31710900
3;320x180;13x13;19316400
3;320x180;15x15;794900
2;160x90;3x3;612600
2;160x90;5x5;2997200
2;160x90;7x7;5795200
2;160x90;9x9;8973100
2;160x90;11x11;12959300
2;160x90;13x13;18031700
2;160x90;15x15;1188600
1;80x45;3x3;13768700
1;80x45;5x5;521700
1;80x45;7x7;726500
1;80x45;9x9;532000
1;80x45;11x11;2841200
1;80x45;13x13;4628200
1;80x45;15x15;6662800
5;1280x720;3x3;2454500
5;1280x720;5x5;1971900
5;1280x720;7x7;1918400
5;1280x720;9x9;2176600
5;1280x720;11x11;2035100
5;1280x720;13x13;2352700
5;1280x720;15x15;3612200
4;640x360;3x3;932900
4;640x360;5x5;17129700
4;640x360;7x7;2097500
4;640x360;9x9;1370600
4;640x360;11x11;28776000
4;640x360;13x13;1964600
4;640x360;15x15;2120500
3;320x180;3x3;40222300
3;320x180;5x5;16782200
3;320x180;7x7;951900
3;320x180;9x9;1857700
3;320x180;11x11;1029600
3;320x180;13x13;13121000
3;320x180;15x15;33272100
2;160x90;3x3;30977600
2;160x90;5x5;1284700
2;160x90;7x7;9241700
2;160x90;9x9;1224000
2;160x90;11x11;717200
2;160x90;13x13;31119000
2;160x90;15x15;31374500
1;80x45;3x3;35573600
1;80x45;5x5;31042200
1;80x45;7x7;18187300
1;80x45;9x9;778000
1;80x45;11x11;1290100
1;80x45;13x13;714900
1;80x45;15x15;598100
5;1280x720;3x3;3336900
5;1280x720;5x5;6013200
5;1280x720;7x7;9913200
5;1280x720;9x9;1888700
5;1280x720;11x11;3173700
5;1280x720;13x13;5800900
5;1280x720;15x15;9123200
4;640x360;3x3;971600
4;640x360;5x5;1219000
4;640x360;7x7;705500
4;640x360;9x9;794800
4;640x360;11x11;791700
4;640x360;13x13;842100
4;640x360;15x15;862800
3;320x180;3x3;454200
3;320x180;5x5;422400
3;320x180;7x7;491900
3;320x180;9x9;545800
3;320x180;11x11;486400
3;320x180;13x13;433900
3;320x180;15x15;469100
2;160x90;3x3;335700
2;160x90;5x5;334600
2;160x90;7x7;313400
2;160x90;9x9;403800
2;160x90;11x11;376700
