size;resolution;window_size;nanoseconds
5;1280x720;3x3;4951200
5;1280x720;5x5;2942600
5;1280x720;7x7;41214300
5;1280x720;9x9;2183100
5;1280x720;11x11;14945700
5;1280x720;13x13;44935800
5;1280x720;15x15;10022600
4;640x360;3x3;1076100
4;640x360;5x5;30619000
4;640x360;7x7;30934800
4;640x360;9x9;35287400
4;640x360;11x11;30511100
4;640x360;13x13;15656400
4;640x360;15x15;1003500
3;320x180;3x3;1349700
3;320x180;5x5;1095500
3;320x180;7x7;36550600
3;320x180;9x9;31340400
3;320x180;11x11;31310900
3;320x180;13x13;31974700
3;320x180;15x15;31879000
2;160x90;3x3;31580700
2;160x90;5x5;426500
2;160x90;7x7;1543100
2;160x90;9x9;693600
2;160x90;11x11;19007200
2;160x90;13x13;31097300
2;160x90;15x15;16287700
1;80x45;3x3;29770000
1;80x45;5x5;30625400
1;80x45;7x7;30795800
1;80x45;9x9;16458500
1;80x45;11x11;32421900
1;80x45;13x13;31356000
1;80x45;15x15;360200
5;1280x720;3x3;2403600
5;1280x720;5x5;1861900
5;1280x720;7x7;1917800
5;1280x720;9x9;2091800
5;1280x720;11x11;2006200
5;1280x720;13x13;1780700
5;1280x720;15x15;1744800
4;640x360;3x3;820300
4;640x360;5x5;800500
4;640x360;7x7;734000
4;640x360;9x9;682800
4;640x360;11x11;667700
4;640x360;13x13;679000
4;640x360;15x15;791700
3;320x180;3x3;458800
3;320x180;5x5;417500
3;320x180;7x7;531400
3;320x180;9x9;539100
3;320x180;11x11;482300
3;320x180;13x13;409000
3;320x180;15x15;381300
2;160x90;3x3;341200
2;160x90;5x5;338600
2;160x90;7x7;317000
2;160x90;9x9;321600
2;160x90;11x11;318800
2;160x90;13x13;319700
2;160x90;15x15;341800
1;80x45;3x3;351800
1;80x45;5x5;304700
1;80x45;7x7;353500
1;80x45;9x9;310600
1;80x45;11x11;387800
1;80x45;13x13;318500
1;80x45;15x15;297500
5;1280x720;3x3;33110800
5;1280x720;5x5;28232300
5;1280x720;7x7;45081500
5;1280x720;9x9;15500300
5;1280x720;11x11;29829000
5;1280x720;13x13;27950500
5;1280x720;15x15;46787300
4;640x360;3x3;15526700
4;640x360;5x5;11350600
4;640x360;7x7;31600800
4;640x360;9x9;16015500
4;640x360;11x11;837800
4;640x360;13x13;5151000
4;640x360;15x15;962300
3;320x180;3x3;990400
3;320x180;5x5;992500
3;320x180;7x7;8260900
3;320x180;9x9;551800
3;320x180;11x11;35008300
3;320x180;13x13;15570400
3;320x180;15x15;21927200
2;160x90;3x3;597000
2;160x90;5x5;39419700
2;160x90;7x7;16677800
2;160x90;9x9;635100
2;160x90;11x11;28408800
2;160x90;13x13;31382400
2;160x90;15x15;4419200
1;80x45;3x3;608100
1;80x45;5x5;628900
1;80x45;7x7;2937200
1;80x45;9x9;567800
1;80x45;11x11;464800
1;80x45;13x13;8966200
1;80x45;15x15;13375700
5;1280x720;3x3;2522200
5;1280x720;5x5;2027900
5;1280x720;7x7;1731700
5;1280x720;9x9;2065400
5;1280x720;11x11;1921700
5;1280x720;13x13;1896200
5;1280x720;15x15;2410600
4;640x360;3x3;1118400
4;640x360;5x5;749400
4;640x360;7x7;683700
4;640x360;9x9;677300
4;640x360;11x11;708100
4;640x360;13x13;694600
4;640x360;15x15;703900
3;320x180;3x3;435800
3;320x180;5x5;462500
3;320x180;7x7;475000
3;320x180;9x9;501900
3;320x180;11x11;426400
3;320x180;13x13;392200
3;320x180;15x15;477100
2;160x90;3x3;346300
2;160x90;5x5;314500
2;160x90;7x7;305000
2;160x90;9x9;410300
2;160x90;11x11;434600
2;160x90;13x13;300100
2;160x90;15x15;309000
1;80x45;3x3;300700
1;80x45;5x5;296600
1;80x45;7x7;296000
1;80x45;9x9;301600
1;80x45;11x11;299200
1;80x45;13x13;298300
1;80x45;15x15;299800
5;1280x720;3x3;46886600
5;1280x720;5x5;16436800
5;1280x720;7x7;21288400
5;1280x720;9x9;6451100
5;1280x720;11x11;24334600
5;1280x720;13x13;19514300
5;1280x720;15x15;27266200
4;640x360;3x3;31160200
4;640x360;5x5;1087500
4;640x360;7x7;31308300
4;640x360;9x9;15943600
4;640x360;11x11;11759200
4;640x360;13x13;2436400
4;640x360;15x15;837900
3;320x180;3x3;875800
3;320x180;5x5;586600
3;320x180;7x7;856100
3;320x180;9x9;963000
3;320x180;11x11;7488400
3;320x180;13x13;22402200
3;320x180;15x15;801000
2;160x90;3x3;638200
2;160x90;5x5;552600
2;160x90;7x7;464100
2;160x90;9x9;4493000
2;160x90;11x11;6833000
2;160x90;13x13;9332100
2;160x90;15x15;12100100
1;80x45;3x3;672600
1;80x45;5x5;643200
1;80x45;7x7;709400
1;80x45;9x9;536400
1;80x45;11x11;2957500
1;80x45;13x13;4578900
1;80x45;15x15;5861500
5;1280x720;3x3;2008000
5;1280x720;5x5;1877100
5;1280x720;7x7;1864600
5;1280x720;9x9;1983800
5;1280x720;11x11;43644700
5;1280x720;13x13;2710700
5;1280x720;15x15;35593500
4;640x360;3x3;1227400
4;640x360;5x5;1216300
4;640x360;7x7;37155500
4;640x360;9x9;49544000
4;640x360;11x11;21889500
4;640x360;13x13;904300
4;640x360;15x15;994000
3;320x180;3x3;831400
3;320x180;5x5;31471400
3;320x180;7x7;32124900
3;320x180;9x9;31177300
3;320x180;11x11;15648300
3;320x180;13x13;6310400
3;320x180;15x15;866100
2;160x90;3x3;460000
2;160x90;5x5;1038200
2;160x90;7x7;47515100
2;160x90;9x9;12437500
2;160x90;11x11;16572600
2;160x90;13x13;16489000
2;160x90;15x15;16669000
1;80x45;3x3;32209300
1;80x45;5x5;16376400
1;80x45;7x7;816000
1;80x45;9x9;1731700
1;80x45;11x11;763400
1;80x45;13x13;914900
1;80x45;15x15;16445700
5;1280x720;3x3;2938500
5;1280x720;5x5;2091500
5;1280x720;7x7;1871800
5;1280x720;9x9;1697300
5;1280x720;11x11;1710100
5;1280x720;13x13;1792600
5;1280x720;15x15;1758200
4;640x360;3x3;955400
4;640x360;5x5;633400
4;640x360;7x7;763900
4;640x360;9x9;822800
4;640x360;11x11;667900
4;640x360;13x13;605900
4;640x360;15x15;630000
3;320x180;3x3;401100
3;320x180;5x5;382400
3;320x180;7x7;711700
3;320x180;9x9;427700
3;320x180;11x11;400400
3;320x180;13x13;385400
3;320x180;15x15;398700
2;160x90;3x3;316600
2;160x90;5x5;317300
2;160x90;7x7;368000
2;160x90;9x9;309000
2;160x90;11x11;324000
2;160x90;13x13;316700
2;160x90;15x15;312000
1;80x45;3x3;303600
1;80x45;5x5;299800
1;80x45;7x7;358500
1;80x45;9x9;292800
1;80x45;11x11;297900
1;80x45;13x13;384400
1;80x45;15x15;384500
5;1280x720;3x3;3303900
5;1280x720;5x5;47970700
5;1280x720;7x7;18369200
5;1280x720;9x9;27619000
5;1280x720;11x11;2940600
5;1280x720;13x13;32036500
5;1280x720;15x15;32370300
4;640x360;3x3;17007600
4;640x360;5x5;17439600
4;640x360;7x7;16935700
4;640x360;9x9;15739600
4;640x360;11x11;15033300
4;640x360;13x13;1085600
4;640x360;15x15;1534400
3;320x180;3x3;761500
3;320x180;5x5;1237900
3;320x180;7x7;35335200
3;320x180;9x9;15879800
3;320x180;11x11;15360900
3;320x180;13x13;31491400
3;320x180;15x15;30556000
2;160x90;3x3;15472600
2;160x90;5x5;32043500
2;160x90;7x7;16356300
2;160x90;9x9;28159600
2;160x90;11x11;4512400
2;160x90;13x13;590100
2;160x90;15x15;544800
1;80x45;3x3;822300
1;80x45;5x5;830100
1;80x45;7x7;11323800
1;80x45;9x9;859100
1;80x45;11x11;934700
1;80x45;13x13;639200
1;80x45;15x15;21920300
5;1280x720;3x3;2148100
5;1280x720;5x5;1773200
5;1280x720;7x7;1710200
5;1280x720;9x9;1748500
5;1280x720;11x11;1690000
5;1280x720;13x13;1991500
5;1280x720;15x15;1781700
4;640x360;3x3;1060300
4;640x360;5x5;861300
4;640x360;7x7;821400
4;640x360;9x9;730500
4;640x360;11x11;642300
4;640x360;13x13;627100
4;640x360;15x15;687800
3;320x180;3x3;375300
3;320x180;5x5;371200
3;320x180;7x7;375300
3;320x180;9x9;389600
3;320x180;11x11;370900
3;320x180;13x13;372400
3;320x180;15x15;374600
2;160x90;3x3;301100
2;160x90;5x5;312300
2;160x90;7x7;408400
2;160x90;9x9;417700
2;160x90;11x11;320700
2;160x90;13x13;319400
2;160x90;15x15;318300
1;80x45;3x3;296200
1;80x45;5x5;306300
1;80x45;7x7;311100
1;80x45;9x9;304500
1;80x45;11x11;299200
1;80x45;13x13;304400
1;80x45;15x15;317400
5;1280x720;3x3;23662100
5;1280x720;5x5;4923600
5;1280x720;7x7;40782000
5;1280x720;9x9;31864700
5;1280x720;11x11;15767900
5;1280x720;13x13;32740300
5;1280x720;15x15;17105500
4;640x360;3x3;15029900
4;640x360;5x5;31471900
4;640x360;7x7;908900
4;640x360;9x9;810600
4;640x360;11x11;4880600
4;640x360;13x13;11661600
4;640x360;15x15;13674000
3;320x180;3x3;779600
3;320x180;5x5;13182500
3;320x180;7x7;16957500
3;320x180;9x9;20958200
3;320x180;11x11;748100
3;320x180;13x13;31764900
3;320x180;15x15;1574100
2;160x90;3x3;13905400
2;160x90;5x5;30427200
2;160x90;7x7;21418200
2;160x90;9x9;626800
2;160x90;11x11;413700
2;160x90;13x13;3167200
2;160x90;15x15;5763300
1;80x45;3x3;560400
1;80x45;5x5;379400
1;80x45;7x7;13206500
1;80x45;9x9;18377600
1;80x45;11x11;24483200
1;80x45;13x13;549600
1;80x45;15x15;432400
5;1280x720;3x3;2596600
5;1280x720;5x5;1937200
5;1280x720;7x7;2002000
5;1280x720;9x9;1870600
5;1280x720;11x11;1715800
5;1280x720;13x13;1803400
5;1280x720;15x15;1843900
4;640x360;3x3;831700
4;640x360;5x5;739800
4;640x360;7x7;699700
4;640x360;9x9;899800
4;640x360;11x11;872700
4;640x360;13x13;847900
4;640x360;15x15;643200
3;320x180;3x3;398200
3;320x180;5x5;357500
3;320x180;7x7;364200
3;320x180;9x9;353100
3;320x180;11x11;356900
3;320x180;13x13;640500
3;320x180;15x15;411500
2;160x90;3x3;339900
2;160x90;5x5;343300
2;160x90;7x7;344900
2;160x90;9x9;327700
2;160x90;11x11;312400
2;160x90;13x13;325300
2;160x90;15x15;322300
1;80x45;3x3;291400
1;80x45;5x5;325500
1;80x45;7x7;301500
1;80x45;9x9;302700
1;80x45;11x11;294100
1;80x45;13x13;316600
1;80x45;15x15;342700
5;1280x720;3x3;34962400
5;1280x720;5x5;2649000
5;1280x720;7x7;2426300
5;1280x720;9x9;2797500
5;1280x720;11x11;26561300
5;1280x720;13x13;15840800
5;1280x720;15x15;6330800
4;640x360;3x3;31974900
4;640x360;5x5;26242000
4;640x360;7x7;2330200
4;640x360;9x9;4941300
4;640x360;11x11;6565500
4;640x360;13x13;9911600
4;640x360;15x15;930000
3;320x180;3x3;600500
3;320x180;5x5;3725800
3;320x180;7x7;1011500
3;320x180;9x9;2223000
3;320x180;11x11;3087400
3;320x180;13x13;4676800
3;320x180;15x15;6660300
2;160x90;3x3;9321300
2;160x90;5x5;11985600
2;160x90;7x7;945300
2;160x90;9x9;1312600
2;160x90;11x11;2113600
2;160x90;13x13;3379100
2;160x90;15x15;631100
1;80x45;3x3;400400
1;80x45;5x5;5790500
1;80x45;7x7;7482500
1;80x45;9x9;546400
1;80x45;11x11;611700
1;80x45;13x13;562700
1;80x45;15x15;508300
5;1280x720;3x3;19493700
5;1280x720;5x5;1920700
5;1280x720;7x7;30062700
5;1280x720;9x9;2237100
5;1280x720;11x11;54108100
5;1280x720;13x13;2941800
5;1280x720;15x15;40504700
4;640x360;3x3;33116700
4;640x360;5x5;32107900
4;640x360;7x7;874400
4;640x360;9x9;1786400
4;640x360;11x11;1047300
4;640x360;13x13;19947200
4;640x360;15x15;32444100
3;320x180;3x3;16182100
3;320x180;5x5;16052400
3;320x180;7x7;15858300
3;320x180;9x9;30415500
3;320x180;11x11;1042800
3;320x180;13x13;1024700
3;320x180;15x15;753500
2;160x90;3x3;25846800
2;160x90;5x5;31911900
2;160x90;7x7;16618600
2;160x90;9x9;12793100
2;160x90;11x11;15056500
2;160x90;13x13;16170600
2;160x90;15x15;15235600
1;80x45;3x3;15331000
1;80x45;5x5;16273400
1;80x45;7x7;15680500
1;80x45;9x9;616400
1;80x45;11x11;1143900
1;80x45;13x13;978700
1;80x45;15x15;1010400
5;1280x720;3x3;2195500
5;1280x720;5x5;1827600
5;1280x720;7x7;1778400
5;1280x720;9x9;1834300
5;1280x720;11x11;1764400
5;1280x720;13x13;1801600
5;1280x720;15x15;2053800
4;640x360;3x3;879400
4;640x360;5x5;699400
4;640x360;7x7;633400
4;640x360;9x9;631500
4;640x360;11x11;677600
4;640x360;13x13;630100
4;640x360;15x15;620900
3;320x180;3x3;382000
3;320x180;5x5;390600
3;320x180;7x7;380000
3;320x180;9x9;382500
3;320x180;11x11;400200
3;320x180;13x13;463800
3;320x180;15x15;441400
2;160x90;3x3;362100
2;160x90;5x5;449300
2;160x90;7x7;496800
